,Code,Location,City,State,lat,lon
36,41700,"San Antonio, TX",San Antonio,TX,29.4711,-98.5356
37,46940,"Vero Beach, FL",Vero Beach,FL,27.633,-80.4031
38,73450,"Hartford-West Hartford-East Hartford, CT",Hartford,CT,41.8468,-73.0104
39,17980,"Columbus, GA-AL",Columbus,GA,32.4841,-84.9431
40,32580,"McAllen-Edinburg-Mission, TX",McAllen,TX,26.2154,-98.2359
41,22420,"Flint, MI",Flint,MI,42.9659,-83.7808
42,26420,"Houston-Baytown-Sugar Land, TX",Houston,TX,29.8131,-95.3098
43,30460,"Lexington-Fayette, KY",Lexington,KY,38.0378,-84.6164
44,37860,"Pensacola-Ferry Pass-Brent, FL",Pensacola,FL,30.4223,-87.2248
45,39100,"Poughkeepsie-Newburgh-Middletown, NY",Poughkeepsie,NY,41.6952,-73.9108
46,44100,"Springfield, IL",Springfield,IL,39.8,-89.6495
47,11540,"Appleton, WI",Appleton,WI,44.2773,-88.3976
48,40140,"Riverside-San Bernardino-Ontario, CA",Riverside,CA,33.9924,-117.3694
49,10900,"Allentown-Bethlehem-Easton, PA-NJ",Allentown,PA,40.6026,-75.4691
50,28020,"Kalamazoo-Portage, MI",Kalamazoo,MI,42.2736,-85.5457
51,41420,"Salem, OR",Salem,OR,44.949,-123.004
52,41860,"San Francisco-Oakland-Fremont, CA",San Francisco,CA,37.6574,-122.4235
53,47380,"Waco, TX",Waco,TX,31.5525,-97.1396
54,15680,"California-Lexington Park, MD",California,MD,38.3006,-76.5312
55,17860,"Columbia, MO",Columbia,MO,38.9382,-92.3049
56,30780,"Little Rock-North Little Rock, AR",Little Rock,AR,34.9074,-92.1397
57,35980,"Norwich-New London, CT",Norwich,CT,41.5371,-72.0849
58,79600,"Worcester, MA-CT",Worcester,MA,42.2653,-71.8794
59,29820,"Las Vegas-Paradise, NV",Las Vegas,NV,36.2115,-115.1241
60,28700,"Kingsport-Bristol, TN-VA",Kingsport,TN,36.5144,-82.5476
61,39740,"Reading, PA",Reading,PA,40.3466,-75.9351
62,43620,"Sioux Falls, SD",Sioux Falls,SD,43.5464,-96.6906
63,16580,"Champaign-Urbana, IL",Champaign,IL,40.111,-88.2407
64,22900,"Fort Smith, AR-OK",Fort Smith,AR,35.3653,-94.411
65,35620,"New York-Newark- Jersey City, NY-NJ-PA (White Plains central city recoded to balance of metropolitan)",New York,NY,40.7069,-73.6731
66,36100,"Ocala, FL",Ocala,FL,29.1989,-82.0874
67,37100,"Oxnard-Thousand Oaks-Ventura, CA",Oxnard,CA,34.2141,-119.175
68,39380,"Pueblo, CO",Pueblo,CO,38.2879,-104.5848
69,41060,"Saint Cloud, MN",Saint Cloud,MN,45.541,-94.1819
70,48620,"Wichita, KS",Wichita,KS,37.652,-97.259
71,22660,"Fort Collins, CO",Fort Collins,CO,40.5813,-105.1039
72,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Virginia Beach,VA,36.844,-76.1204
73,30020,"Lawton, OK",Lawton,OK,34.5915,-98.3698
74,71950,"Bridgeport-Stamford-Norwalk, CT",Bridgeport,CT,41.3089,-73.3637
75,10180,"Abilene, TX",Abilene,TX,32.4682,-99.7182
76,45460,"Terre Haute, IN",Terre Haute,IN,39.4336,-87.4101
77,10580,"Albany-Schenectady-Troy, NY",Albany,NY,42.6149,-73.9708
78,21500,"Erie, PA",Erie,PA,42.126,-80.086
79,78700,"Waterbury, CT",Waterbury,CT,41.3657,-72.9275
80,18140,"Columbus, OH",Columbus,OH,40.0999,-83.0157
