"","Player","Year","Pos","Age","AV","School","Height","X40YD","Vertical","BenchReps","Broad.Jump","X3Cone","Shuttle","Drafted","From","To","Rushing.TD","Rushing.Yards.per.Game","ReceivingTD","Receiving.Yards.per.Game","Ctch.","Total.TD","Offensive.Yards.per.Game"
"99","Curtis Samuel",2017,"WR",20,19,"Ohio State",71,43.1,37,18,119,70.9,43.3,40,2017,2021,5,8.4,14,36.4,63.2,19,44.8
"100","D.J. Hackett",2004,"WR",22,15,"Colorado",74,45.3,41,NA,131,67.9,40.8,157,2005,2008,0,0,9,37.5,64.1,9,37.5
"101","D.J. Moore",2018,"WR",20,35,"Maryland",72,44.2,39.5,15,132,69.5,40.7,24,2018,2021,0,4.5,14,68.5,60.4,14,73
"102","Dallas Baker",2007,"WR",24,0,"Florida",75,45.3,36,NA,129,66.9,41.9,227,2008,2008,0,0,0,0.8,50,0,0.8
"103","Damian Williams",2010,"WR",21,11,"USC",73,45.2,38,19,118,67.9,42.4,77,2010,2014,0,0.1,5,23.3,56,5,23.4
"104","Danny Farmer",2000,"WR",22,5,"UCLA",75,45.8,NA,NA,NA,NA,NA,103,2000,2002,0,0,1,18.5,60.6,1,18.5
"105","Darius Watts",2004,"WR",22,4,"Marshall",73,45,NA,NA,NA,NA,NA,54,2004,2005,0,1.5,1,18.5,57.9,1,20
"106","Darrell Jackson",2000,"WR",21,65,"Florida",72,45.6,NA,NA,NA,NA,NA,80,2000,2008,0,0.1,51,58,54.5,51,58.1
"107","Darrius Heyward-Bey",2009,"WR",22,26,"Maryland",74,43,38.5,16,126,68,41.8,7,2009,2018,2,1.3,16,20.1,46.8,18,21.4
"108","Daryl Jones",2002,"WR",23,1,"Miami (FL)",69,43.5,NA,NA,NA,NA,NA,226,2002,2004,0,0.3,0,6,44.4,0,6.3
"109","Davante Adams",2014,"WR",21,77,"Fresno State",73,45.6,39.5,14,123,68.2,43,53,2014,2021,0,0,73,70,66.1,73,70
"110","David Anderson",2006,"WR",22,8,"Colorado State",70,45.7,34,NA,116,68.8,42,251,2006,2011,0,0,4,14.4,65.7,4,14.4
"111","David Clowney",2007,"WR",21,3,"Virginia Tech",72,43.6,32.5,NA,123,70,41.5,157,2008,2010,0,0,1,12.2,55,1,12.2
"112","David Gettis",2010,"WR",22,3,"Baylor",75,44.3,34.5,15,124,69.4,44.1,198,2010,2012,0,0.1,3,29.9,55.2,3,30
"113","David Givens",2002,"WR",21,23,"Notre Dame",72,45.6,40.5,NA,126,68.2,41.3,253,2002,2006,0,0.3,12,40,57,12,40.3
"114","David Reed",2010,"WR",22,2,"Utah",72,45.6,37,15,114,69.5,43.8,156,2010,2013,0,0.9,0,1.9,50,0,2.8
"115","David Terrell",2001,"WR",21,12,"Michigan",75,44.3,NA,NA,NA,NA,NA,8,2001,2005,0,0.3,9,29.7,51.6,9,30
"116","DeAndre Hopkins",2013,"WR",20,85,"Clemson",73,45.7,36,15,115,NA,45,27,2013,2021,0,0.1,68,77.8,62,68,77.9
"117","DeAndre Smelter",2015,"WR",23,0,"Georgia Tech",74,45.2,NA,NA,NA,NA,NA,132,2016,2016,0,0,0,11.5,100,0,11.5
"118","Dede Westbrook",2017,"WR",23,15,"Oklahoma",72,NA,NA,NA,NA,NA,NA,110,2017,2021,0,2.3,9,32.5,63.2,9,34.8
"119","Deion Branch",2002,"WR",22,63,"Louisville",69,44.7,36,NA,117,67.1,37.8,65,2002,2012,0,0.2,39,47.5,58.7,39,47.7
"120","Delanie Walker",2006,"WR",21,47,"Central Missouri State",73,44.9,36.5,NA,118,NA,NA,175,2006,2019,1,0.5,36,32.2,63.8,37,32.7
"121","DeMarco Sampson",2011,"WR",25,0,"San Diego State",74,44.1,NA,14,NA,NA,NA,249,2011,2011,0,0,0,3,37.5,0,3
"122","Demarcus Robinson",2016,"WR",21,16,"Florida",73,45.9,34.5,NA,123,67.7,41.9,126,2016,2021,0,0,14,17.3,63.9,14,17.3
"123","Demaryius Thomas",2010,"WR",22,81,"Georgia Tech",75,45.2,NA,NA,NA,NA,NA,22,2010,2019,0,0,63,68.3,61,63,68.3
"124","Demetrius Williams",2006,"WR",22,9,"Oregon",74,45.2,38,NA,127,68.4,40.8,111,2006,2010,0,0,4,21.9,47,4,21.9
"125","Denard Robinson",2013,"WR",22,8,"Michigan",70,44.3,36.5,NA,123,70.9,42.2,135,2013,2016,5,19.2,0,5.6,70.1,5,24.8
"126","Denarius Moore",2011,"WR",22,16,"Tennessee",72,44.3,36,13,118,67.8,41.5,148,2011,2015,1,1,17,38.1,46.9,18,39.1
"127","Dennis Northcutt",2000,"WR",22,49,"Arizona",70,44.3,37.5,NA,123,69.6,40.4,32,2000,2009,1,2.5,18,34.3,58.7,19,36.8
"128","Deon Butler",2009,"WR",23,4,"Penn State",70,43.1,34.5,12,118,70.1,44.8,91,2009,2012,0,0.2,4,17.5,47.9,4,17.7
"129","Deon Cain",2018,"WR",21,1,"Clemson",74,44.3,33.5,11,115,67.1,43.7,185,2019,2020,0,0,0,8.3,45,0,8.3
"130","Derek Hagan",2006,"WR",21,14,"Arizona State",74,44.5,36,NA,124,NA,40.7,82,2006,2014,0,0,7,17.5,55.8,7,17.5
"131","Derrick Hamilton",2004,"WR",22,0,"Clemson",75,45.4,NA,NA,NA,NA,NA,77,2004,2004,0,0,0,0,0,0,0
"132","Derrick Williams",2009,"WR",22,0,"Penn State",71,44.7,33,15,NA,NA,NA,82,2009,2010,0,0.2,0,4.6,50,0,4.8
"133","DeSean Jackson",2008,"WR",21,92,"California",70,43.5,NA,NA,120,NA,NA,49,2008,2021,4,2.6,58,63.1,56.1,62,65.7
"134","DeVante Parker",2015,"WR",22,36,"Louisville",75,44.5,36.5,17,125,NA,NA,14,2015,2021,0,0,24,50.8,57.9,24,50.8
"135","Devard Darling",2004,"WR",21,4,"Washington State",73,45.2,37,NA,129,NA,NA,82,2004,2008,0,0,4,12.6,50,4,12.6
"136","Devery Henderson",2004,"WR",21,41,"LSU",71,44.1,NA,NA,NA,NA,NA,50,2004,2012,1,1,20,35.3,55.4,21,36.3
"137","Devin Aromashodu",2006,"WR",21,11,"Auburn",74,43.5,39,NA,120,70.4,41.6,233,2007,2012,0,0,5,19.6,41.1,5,19.6
"138","Devin Funchess",2015,"WR",20,21,"Michigan",64,47,38.5,17,122,NA,NA,41,2015,2019,0,0,21,36.5,51.9,21,36.5
"139","Devin Hester",2006,"WR",23,55,"Miami (FL)",71,44.1,38,16,124,NA,NA,57,2006,2016,1,0.7,16,21.2,56.8,17,21.9
"140","Devin Smith",2015,"WR",23,2,"Ohio State",72,44.2,39,10,122,NA,41.5,37,2015,2021,0,0,2,11.3,36.6,2,11.3
"141","Devin Street",2014,"WR",22,1,"Pittsburgh",75,45.5,37,NA,124,68.9,40.1,146,2014,2016,0,0,1,4.2,38.5,1,4.2
"142","Devin Thomas",2008,"WR",21,4,"Michigan State",74,44.1,28,NA,126,71.5,42.6,34,2008,2011,1,0.9,3,8.8,55.1,4,9.7
"143","Devon Wylie",2012,"WR",23,0,"Fresno State",69,43.6,39,17,123,NA,NA,107,2012,2013,0,0,0,6.6,50,0,6.6
"144","Dexter Jackson",2008,"WR",21,0,"Appalachian State",69,43.3,29.5,NA,122,68.1,43.8,58,2008,2008,0,0,0,0,NA,0,0
"145","Dexter McCluster",2010,"WR",20,23,"Mississippi",69,45.3,37.5,20,118,NA,40.6,36,2010,2016,2,11.7,7,22.4,67.2,9,34.1
"146","Dez White",2000,"WR",20,19,"Georgia Tech",73,46.2,37.5,NA,124,69.1,40.9,69,2000,2005,0,0.5,11,26.2,50.4,11,26.7
"147","Dezmon Briscoe",2010,"WR",20,4,"Kansas",74,46.6,33,9,115,71,45.7,191,2010,2012,0,0,7,20.1,68.3,7,20.1
"148","Dominique Edison",2009,"WR",22,0,"Stephen F. Austin",74,44.2,37,NA,120,NA,41.8,206,2009,2009,0,0,0,0,NA,0,0
"149","Donnie Avery",2008,"WR",23,23,"Houston",71,44.3,NA,16,NA,NA,NA,33,2008,2014,1,1.5,14,37.2,50.6,15,38.7
"150","Donte Moncrief",2014,"WR",20,20,"Mississippi",74,44,39.5,13,132,70.2,43,90,2014,2020,0,0.2,21,31,56.5,21,31.2
"151","Donte' Stallworth",2002,"WR",21,45,"Tennessee",72,42.2,NA,NA,NA,NA,NA,13,2002,2012,0,0.9,35,42.1,54,35,43
"152","Dorial Green-Beckham",2015,"WR",21,7,"Oklahoma",77,44.9,33.5,13,119,68.9,44.5,40,2015,2016,0,0,6,30.4,48.2,6,30.4
"153","Doug Gabriel",2003,"WR",22,15,"Central Florida",74,45.2,35.5,NA,116,70.5,41.6,167,2003,2006,0,0.2,8,27.2,49,8,27.4
"154","Drew Carter",2004,"WR",22,8,"Ohio State",64,43.6,NA,NA,NA,NA,NA,163,2005,2007,0,0.5,8,29.6,50.4,8,30.1
"155","Dri Archer",2014,"WR",22,0,"Kent State",68,42.6,38,20,122,68.6,40.6,97,2014,2015,0,2,0,1.2,70,0,3.2
"156","Dwayne Bowe",2007,"WR",22,58,"LSU",74,45.1,33,NA,125,68.1,43.5,23,2007,2015,0,0.1,44,57.7,55.9,44,57.8
"157","Dwayne Harris",2011,"WR",23,13,"East Carolina",70,45.3,34,10,111,67.7,42.1,176,2011,2020,0,0.3,8,8,63.1,8,8.3
"158","Dwayne Jarrett",2007,"WR",20,4,"USC",64,46.2,NA,NA,NA,NA,NA,45,2007,2010,0,0.3,1,13.4,51.5,1,13.7
"159","Earl Bennett",2008,"WR",20,20,"Vanderbilt",71,44.8,26,15,110,71.5,42.2,70,2008,2013,0,0.1,12,29.2,62.7,12,29.3
"160","Early Doucet",2008,"WR",22,11,"LSU",72,45.9,NA,NA,NA,NA,NA,81,2008,2012,0,0.3,7,27.6,55.6,7,27.9
"161","Eddie Berlin",2001,"WR",23,3,"New Mexico",71,44.3,39.5,NA,122,67.8,40.8,159,2001,2005,0,0,2,6.1,48.1,2,6.1
"162","Eddie Royal",2008,"WR",21,40,"Virginia Tech",70,43.9,36,24,124,70.7,43.4,42,2008,2016,0,2.4,28,37.6,61.9,28,40
"163","Emmanuel Sanders",2010,"WR",22,79,"SMU",71,44,39.5,12,126,66.4,41,82,2010,2021,1,1.2,51,53.8,62,52,55
"164","Eric Decker",2010,"WR",22,50,"Minnesota",75,45.4,NA,15,NA,NA,NA,87,2010,2017,0,0,53,52.4,61.6,53,52.4
"165","Ernest Wilford",2004,"WR",25,23,"Virginia Tech",64,47.9,40.5,NA,130,NA,41.7,120,2004,2010,0,0,15,24.7,54.5,15,24.7
"166","Gari Scott",2000,"WR",21,0,"Michigan State",72,45.9,33.5,NA,119,NA,NA,99,2001,2001,0,0,0,8.7,50,0,8.7
"167","Geremy Davis",2015,"WR",23,0,"Connecticut",74,44.9,36.5,23,124,68.6,41.8,186,2015,2019,0,0,0,1.6,55.6,0,1.6
"168","Golden Tate",2010,"WR",21,72,"Notre Dame",70,44.2,35,17,120,71.2,43.4,60,2010,2020,0,1.4,46,51.7,66.8,46,53.1
"169","Greg Little",2011,"WR",21,13,"North Carolina",74,45.1,40.5,27,129,68,42.1,59,2011,2014,0,0.6,8,35,49.7,8,35.6
"170","Greg Salas",2011,"WR",22,4,"Hawaii",73,45.3,37,15,120,66.5,41,112,2011,2016,1,1,1,24.3,58.8,2,25.3
"171","Hakeem Nicks",2009,"WR",21,44,"North Carolina",73,45.1,36,NA,NA,NA,NA,29,2009,2015,0,0.1,31,55.2,57.6,31,55.3
"172","Harry Douglas",2008,"WR",23,36,"Louisville",71,45.1,31,NA,120,65.7,41.2,84,2008,2017,1,0.6,10,31.9,60.1,11,32.5
"173","Herb Haygood",2002,"WR",24,0,"Michigan State",71,44.5,33,NA,114,66.5,42.6,144,2002,2002,0,0,0,0,0,0,0
